Land,Landkreis,Gemeinde-schlüssel,Gemeinde,Schneelastzone,Fußnote(n),DC,ZIP,comments
TH,Unstrut-Hainich-Kreis,16064023,Heroldishausen,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064024,Heyerode,3,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064025,Hildebrandshausen,3,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064027,Hornsömmern,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064029,Issersheilingen,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064032,Kammerforst,3,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064033,Kirchheilingen,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064035,Kleinwelsbach,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064036,Klettstedt,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064037,Körner,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064038,Kutzleben,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064039,Langula,3,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064042,Lengenfeld unterm Stein,3,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064043,Marolterode,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064045,Mittelsömmern,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064046,Mühlhausen/Thüringen,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064047,Mülverstedt,3,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064048,Neunheilingen,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064049,Niederdorla,3,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064051,Oberdorla,3,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064052,Obermehler,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064053,Oppershausen,3,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064055,Rodeberg,3,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064057,Schlotheim,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064058,Schönstedt,3,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064061,Sundhausen,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064062,Tottleben,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064064,Urleben,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064065,Weberstedt,3,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064066,Weinbergen,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064069,Katharinenberg,3,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064071,Unstruttal,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064072,Menteroda,2,,16064,,covered by DC rule!
TH,Unstrut-Hainich-Kreis,16064073,Anrode,2,,16064,,covered by DC rule!
TH,Kyffhäuserkreis,alle,alle,2,,alle,,
