Land,Kreisfreie Stadt/Landkreis,Gemeinde,Gemeindeteil,Schneelastzone,DC,ZIP,comments
SN,,"Reichenbach/O.L., Stadt",,,,,
SN,,Rosenbach,,,,,
SN,,"Rothenburg/O.L., Stadt",,,,,
SN,,Schönau-Berzdorf a. d. Eigen,,,,,
SN,,Schönbach,,,,,
SN,,Schöpstal,,,,,
SN,,"Seifhennersdorf, Stadt",,,,,
SN,,Sohland a. Rotstein,,,,,
SN,,Vierkirchen,,,,,
SN,,Waldhufen,,,,,
SN,,"Zittau, Stadt",,,,,
SN,Landkreis Sächsische Schweiz-Osterzgebirge,"Altenberg, Stadt",,3,14628,01773-01778,DC rule 14628
SN,,"Bad Gottleuba-Berggießhübel, Stadt",,3,14628,01816,covered by DC rule!
SN,,Bahretal,,3,14628,01819,covered by DC rule!
SN,,"Dippoldiswalde, Stadt",,3,14628,01744,covered by DC rule!
SN,,Dohma,,3,14628,01796,covered by DC rule!
SN,,"Dohna, Stadt",,3,14628,01809,covered by DC rule!
SN,,Dorfhain,,3,14628,01738,covered by DC rule!
SN,,"Glashütte, Stadt",,3,14628,01768,covered by DC rule!
SN,,Gohrisch,,3,14628,01824,covered by DC rule!
SN,,Hartmannsdorf-Reichenau,,3,14628,01762,covered by DC rule!
SN,,Hermsdorf/Erzgeb.,,3,14628,01776,covered by DC rule!
SN,,Klingenberg,,3,14628,01774,covered by DC rule!
SN,,"Königstein/Sächs. Schw., Stadt",,3,14628,01824,covered by DC rule!
SN,,Kreischa,,3,14628,01731,covered by DC rule!
SN,,"Liebstadt, Stadt",,3,14628,01825,covered by DC rule!
SN,,Müglitztal,,3,14628,01809,covered by DC rule!
SN,,"Neustadt i. Sa., Stadt",,3,14628,01844,covered by DC rule!
SN,,"Rabenau, Stadt",,3,14628,01734,covered by DC rule!
SN,,Reinhardtsdorf-Schöna,,3,14628,01814,covered by DC rule!
SN,,Rosenthal-Bielatal,,3,14628,01824,covered by DC rule!
SN,,"Sebnitz, Stadt",Hainersdorf,3,14628,01855,covered by DC rule!
SN,,,Hertigswalde,3,14628,01855,covered by DC rule!
SN,,,Hinterhermsdorf,3,14628,01855,covered by DC rule!
SN,,,Schönbach,3,14628,01855,covered by DC rule!
SN,,,Sebnitz,3,14628,01855,covered by DC rule!
SN,,"Tharandt, Stadt",,3,14628,,covered by DC rule!
,,,,,,,
,,,,,,,
,,,,,,01814,
,,,,,,01728,
,,,,,,01833,
,,,,,,01705,
,,,,,,01809,
,,,,,,01848,
,,,,,,01847,
,,,,,,01796,
,,,,,,01824,
,,,,,,01814,
,,,,,,01855,
,,,,,,01856,
,,,,,,01857,
,,,,,,01858,
,,,,,,01859,
,,,,,,01860,
,,,,,,01829,
,,,,,,01833,
,,,,,,01723-01737,
