Land,Landkreis,Gemeinde-schlüssel,Gemeinde,Schneelastzone,Fußnote(n),DC,ZIP,comments
HE,Rheingau-Taunus-Kreis,06439007,Hünstetten,2,,06439,65510,covered by DC rule!
HE,Rheingau-Taunus-Kreis,06439008,Idstein,2,,06439,65510,covered by DC rule!
HE,Rheingau-Taunus-Kreis,06439009,Kiedrich,2,,06439,65399,covered by DC rule!
HE,Rheingau-Taunus-Kreis,06439010,Lorch,1,,06439,65391,covered by DC rule!
HE,Rheingau-Taunus-Kreis,06439011,Niedernhausen,2,,06439,65527,covered by DC rule!
HE,Rheingau-Taunus-Kreis,06439012,Oestrich-Winkel,2,,06439,65375,covered by DC rule!
HE,Rheingau-Taunus-Kreis,06439013,Rüdesheim am Rhein,1,,06439,65385,covered by DC rule!
HE,Rheingau-Taunus-Kreis,06439014,Schlangenbad,2,,06439,65388,covered by DC rule!
HE,Rheingau-Taunus-Kreis,06439015,Taunusstein,2,,06439,65232,covered by DC rule!
HE,Rheingau-Taunus-Kreis,06439016,Waldems,2,,06439,65529,covered by DC rule!
HE,Rheingau-Taunus-Kreis,06439017,Walluf,1,,06439,65396,covered by DC rule!
HE,Wetteraukreis,06440001,Altenstadt,2,,06440,63674,DC rule (DC 06440)
HE,Wetteraukreis,06440002,Bad Nauheim,2,,06440,61231,covered by DC rule!
HE,Wetteraukreis,06440003,Bad Vilbel,1,,06440,61118,covered by DC rule!
HE,Wetteraukreis,06440004,Büdingen,2,,06440,63654,covered by DC rule!
HE,Wetteraukreis,06440005,Butzbach,2,,06440,35510,covered by DC rule!
HE,Wetteraukreis,06440006,Echzell,2,,06440,61209,covered by DC rule!
HE,Wetteraukreis,06440007,Florstadt,2,,06440,61197,covered by DC rule!
HE,Wetteraukreis,06440008,Friedberg (Hessen),2,,06440,61169,covered by DC rule!
HE,Wetteraukreis,06440009,Gedern,2,,06440,63688,covered by DC rule!
HE,Wetteraukreis,06440010,Glauburg,2,,06440,63695,covered by DC rule!
HE,Wetteraukreis,06440011,Hirzenhain,2,,06440,63697,covered by DC rule!
HE,Wetteraukreis,06440012,Karben,1,,06440,61184,covered by DC rule!
HE,Wetteraukreis,06440013,Kefenrod,2,,06440,63699,covered by DC rule!
HE,Wetteraukreis,06440014,Limeshain,1,,06440,63694,covered by DC rule!
HE,Wetteraukreis,06440015,Münzenberg,2,,06440,35516,covered by DC rule!
HE,Wetteraukreis,06440016,Nidda,2,,06440,63667,covered by DC rule!
HE,Wetteraukreis,06440017,Niddatal,1,,06440,61194,covered by DC rule!
HE,Wetteraukreis,06440018,Ober-Mörlen,2,,06440,61239,covered by DC rule!
HE,Wetteraukreis,06440019,Ortenberg,2,,06440,63683,covered by DC rule!
HE,Wetteraukreis,06440020,Ranstadt,2,,06440,63691,covered by DC rule!
HE,Wetteraukreis,06440021,Reichelsheim (Wetterau),2,,06440,61203,covered by DC rule!
HE,Wetteraukreis,06440022,Rockenberg,2,,06440,35519,covered by DC rule!
HE,Wetteraukreis,06440023,Rosbach v.d. Höhe,2,,06440,61191,covered by DC rule!
HE,Wetteraukreis,06440024,Wölfersheim,2,,06440,61200,covered by DC rule!
HE,Wetteraukreis,06440025,Wöllstadt,2,,06440,61206,covered by DC rule!
HE,Gießen,alle,alle,2,,06531,,
HE,Lahn-Dill-Kreis,alle,"alle außer:
Dietzhölztal, Dillenburg, Eschenburg und Haiger =  SLZ 2a ",2,,06532,,"DC rule (DC 06532): ZIP codes 35716,35863-356890,35713,35708 are zone 2a "
HE,Limburg-Weilburg,alle,alle,2,,06533,,
HE,Marburg-Biedenkopf,alle,"alle außer:
Biedenkopf, Breidenbach und
Münchhausen= SLZ 2a",2,,06534,,"DC rule (DC 06534): ZIP codes 35216,35236,35117 are zone 2a"
HE,Vogelsbergkreis,alle,"alle außer:
Freiensteinau, Grebenhain, Herbstein, Lauterbach (Hessen), Schlitz und Wartenberg = SLZ 2a",2,,06535,,"DC rule (DC 06535): ZIP codes 36399,36355,36358,36341,36110,36367 are zone 2a"
HE,Fulda,alle,"alle außer:
Burghaun, Eiterfeld und Rasdorf = SLZ 2",2a,,06631,,"DC rule (DC 06631): ZIP codes 36132,36151,36169 are zone 2"
HE,Hersfeld-Rotenburg,alle,alle,2,,06632,,
HE,Kassel,alle,"alle außer 
Grebenstein und 
Hofgeismar= SLZ 2a",2,,06611,,
HE,Kassel,alle,"alle außer 
Grebenstein und 
Hofgeismar= SLZ 2a",2,,06633,,DC rule (DC 06633): ZIP codes 34369 and 34393 are zone 2a
HE,Schwalm-Eder-Kreis,alle,alle,2,,06634,,
HE,Waldeck-Frankenberg,alle ,"alle außer:
Bad Wildungen, Diemelstadt, Gemünden (Wohra), Haina (Kloster), Rosenthal, Volkmarsen = SLZ 2",2a,,06635,,"DC rule (DC 06635): ZIP codes 34537,34474,35285,35114,35119,34471 are zone 2"
HE,Werra-Meißner-Kreis,alle,"alle außer:
Großalmerode, Hessisch Lichtenau, Neu-Eichenberg, Sontra, Waldkappel und Gutsbezirk Kaufunger Wald = SLZ 2",3,,06636,,"DC rule (DC 06636): ZIP codes 37247,37235,37249,36205,37284,37216 are zone 2"
