Land,Kreisfreie Stadt/Landkreis,Gemeinde,Gemeindeteil,Schneelastzone,DC,ZIP,comments,,,
SN,,Boxberg/O.L./Hamor,Dürrbach/Dyrbach,3,14626,02943,covered by DC rule,,,
SN,,,Jahmen/Jamno,3,14626,02943,covered by DC rule,,,
SN,,,Kaschel/Košla,3,14626,02943,covered by DC rule,,,
SN,,,Klein-Oelsa/Wolešnica,3,14626,02943,covered by DC rule,,,
SN,,,Klein-Radisch/Radšowk,3,14626,02943,covered by DC rule,,,
SN,,,Klitten/Klêtno,3,14626,02943,covered by DC rule,,,
SN,,,Tauer/Turjo,3,14626,02943,covered by DC rule,,,
SN,,,Zimpel/Cympl,3,14626,02943,covered by DC rule,,,
SN,,Dürrhennersdorf,,3,14626,,covered by DC rule,,,
SN,,"Ebersbach-Neugersdorf/Sa., Stadt",,3,14626,,covered by DC rule,,,
SN,,"Görlitz, Stadt",,3,14626,02826-02828,covered by DC rule,,,
SN,,Großschönau,,3,14626,,covered by DC rule,,,
SN,,Großschweidnitz,,3,14626,,covered by DC rule,,,
SN,,Hainewalde,,3,14626,,covered by DC rule,,,
SN,,Hänichen,,3,14626,,covered by DC rule,,,
SN,,"Herrnhut, Stadt",,3,14626,,covered by DC rule,,,
SN,,Hohendubrau/Wysoka Dubrawa,,3,14626,,covered by DC rule,,,
SN,,Horka,,3,14626,,covered by DC rule,,,
SN,,"Jonsdorf, Kurort",,3,14626,,covered by DC rule,,,
SN,,Kodersdorf,,3,14626,,covered by DC rule,,,
SN,,Königshain,,3,14626,,covered by DC rule,,,
SN,,Kottmar,,3,14626,,covered by DC rule,,,
SN,,Kreba-Neudorf/Chrjebja-Nowa Wjes,,3,14626,,covered by DC rule,,,
SN,,Lawalde,,3,14626,,covered by DC rule,,,
SN,,Leutersdorf,,3,14626,,covered by DC rule,,,
SN,,"Löbau, Stadt",,3,14626,,covered by DC rule,,,
SN,,Markersdorf,,3,14626,,covered by DC rule,,,
SN,,Mittelherwigsdorf,,3,14626,,covered by DC rule,,,
SN,,Mücka/Mikow,,3,14626,,covered by DC rule,,,
SN,,Neißeaue,,3,14626,,covered by DC rule,,,
SN,,"Neusalza-Spremberg, Stadt",,3,14626,,covered by DC rule,,,
SN,,"Niesky, Stadt",,3,14626,,covered by DC rule,,,
SN,,Oderwitz,,3,14626,,covered by DC rule,,,
SN,,Olbersdorf,,3,14626,,covered by DC rule,,,
SN,,Oppach,,3,14626,,covered by DC rule,,,
SN,,"Ostritz, Stadt",,3,14626,,covered by DC rule,,,
SN,,Oybin,,3,14626,,covered by DC rule,,,
SN,,Quitzdorf am See,,3,14626,,covered by DC rule,,,
SN,,"Reichenbach/O.L., Stadt",,3,14626,,covered by DC rule,,,
SN,,Rosenbach,,3,14626,,covered by DC rule,,,
SN,,"Rothenburg/O.L., Stadt",,3,14626,,covered by DC rule,,,
SN,,Schönau-Berzdorf a. d. Eigen,,3,14626,,covered by DC rule,,,
SN,,Schönbach,,3,14626,,covered by DC rule,,,
SN,,Schöpstal,,3,14626,,covered by DC rule,,,
SN,,"Seifhennersdorf, Stadt",,3,14626,,covered by DC rule,,,
SN,,Sohland a. Rotstein,,3,14626,,covered by DC rule,,,
SN,,Vierkirchen,,3,14626,,covered by DC rule,,,
SN,,Waldhufen,,3,14626,,covered by DC rule,,,
SN,,"Zittau, Stadt",,3,14626,,covered by DC rule,,,
SN,Landkreis Meißen,,,2,14627,,,,,
SN,Landkreis Sächsische Schweiz-Osterzgebirge,"Bad Schandau, Stadt",,2,14628,01814,covered by DC rule! (see zone 3),,01814 is ambiguous,
SN,,Bannewitz,,2,14628,01728,covered by DC rule!,,,
SN,,Dürrröhrsdorf-Dittersbach,,2,14628,01833,covered by DC rule!,,,
SN,,"Freital, Stadt",,2,14628,01705,covered by DC rule!,,,
SN,,"Heidenau, Stadt",,2,14628,01809,covered by DC rule!,,01809 is ambiguous,
SN,,"Hohnstein, Stadt",,2,14628,01848,covered by DC rule!,,,
SN,,Lohmen,,2,14628,01847,covered by DC rule!,,,
SN,,"Pirna, Stadt",,2,14628,01796,covered by DC rule!,,01796 is ambiguous,
,,"Rathen, Kurort",,2,14628,01824,covered by DC rule!,,,
SN,,Rathmannsdorf,,2,14628,01814,covered by DC rule!,,,
,,"Sebnitz, Stadt",Altendorf,2,14628,01855,covered by DC rule!,,01855 is ambiguous,
,,,Lichtenhain,2,14628,01856,covered by DC rule!,,,
,,,Mittelndorf,2,14628,01857,covered by DC rule!,,,
,,,Ottendorf,2,14628,01858,covered by DC rule!,,,
,,,Saupsdorf,2,14628,01859,covered by DC rule!,,,
SN,,"Stadt Wehlen, Stadt",,2,14628,01860,covered by DC rule!,,,
SN,,"Stolpen, Stadt",,2,14628,01829,covered by DC rule!,,,
SN,,Struppen,,2,14628,01833,covered by DC rule!,,,
SN,,"Wilsdruff, Stadt",,2,14628,01723-01737,covered by DC rule!,,,
SN,Landkreis Sächsische Schweiz-Osterzgebirge,"Altenberg, Stadt",,3,14628,01773-01778,default zone is 3,,,
SN,,"Bad Gottleuba-Berggießhübel, Stadt",,3,14628,01816,covered by DC rule!,,,
SN,,Bahretal,,3,14628,01819,covered by DC rule!,,,
SN,,"Dippoldiswalde, Stadt",,3,14628,01744,covered by DC rule!,,,
SN,,Dohma,,3,14628,01796,covered by DC rule!,,,
SN,,"Dohna, Stadt",,3,14628,01809,covered by DC rule!,,,
SN,,Dorfhain,,3,14628,01738,covered by DC rule!,,,
SN,,"Glashütte, Stadt",,3,14628,01768,covered by DC rule!,,,
SN,,Gohrisch,,3,14628,01824,covered by DC rule!,,,
SN,,Hartmannsdorf-Reichenau,,3,14628,01762,covered by DC rule!,,,
SN,,Hermsdorf/Erzgeb.,,3,14628,01776,covered by DC rule!,,,
SN,,Klingenberg,,3,14628,01774,covered by DC rule!,,,
SN,,"Königstein/Sächs. Schw., Stadt",,3,14628,01824,covered by DC rule!,,,
SN,,Kreischa,,3,14628,01731,covered by DC rule!,,,
SN,,"Liebstadt, Stadt",,3,14628,01825,covered by DC rule!,,,
SN,,Müglitztal,,3,14628,01809,covered by DC rule!,,,
SN,,"Neustadt i. Sa., Stadt",,3,14628,01844,covered by DC rule!,,,
SN,,"Rabenau, Stadt",,3,14628,01734,covered by DC rule!,,,
SN,,Reinhardtsdorf-Schöna,,3,14628,01814,covered by DC rule!,,,
SN,,Rosenthal-Bielatal,,3,14628,01824,covered by DC rule!,,,
SN,,"Sebnitz, Stadt",Hainersdorf,3,14628,01855,covered by DC rule!,,,
SN,,,Hertigswalde,3,14628,01855,covered by DC rule!,,,
SN,,,Hinterhermsdorf,3,14628,01855,covered by DC rule!,,,
SN,,,Schönbach,3,14628,01855,covered by DC rule!,,,
SN,,,Sebnitz,3,14628,01855,covered by DC rule!,,,
SN,,"Tharandt, Stadt",,3,14628,,covered by DC rule!,,,
SN,Landkreis Leipzig,,,2,14713,,covered by row 4,,,
SN,Landkreis Nordsachsen,,,2,14730,,,,,
SN,Kreisfreie Stadt Chemnitz,,,3,14511,,,,,
SN,Erzgebirgskreis,,,3,14521,,,,,
